id,full_name,full_name_kana,sex,tel,fax,mobile,email,zip,prefecture,city,house_number,birthday,hometown,blood,religion,role_courtship,role_matchmaker,matchmaker_id
48,守屋 孝志,モリヤ タカシ,男,880105486,,8066949873,takashi478@fgcyrop.kp.isd,781-3705,高知県,土佐郡大川村,大北川2-20-4,1993/4/29,和歌山県,O,buddhism,TRUE,FALSE,5
49,堀 菜々美,ホリ ナナミ,女,762525610,,9035122991,nanamihori@dtpssulu.djk,939-0544,富山県,富山市,水橋上砂子坂37660,1966/12/3,広島県,A,buddhism,TRUE,FALSE,8
50,狩野 杏樹,カノウ アンジュ,女,748838601,748838602,8035916346,anju15396@cvmcsxtfsy.vr,526-0058,滋賀県,長浜市,南呉服町1-16-9,1980/12/30,滋賀県,O,buddhism,TRUE,FALSE,5
51,赤松 陸太郎,アカマツ リクタロウ,男,987960317,,8058959422,rikutarou188@jiikxlhz.pm,882-0883,宮崎県,延岡市,下三輪町43514,1999/10/3,茨城県,B,buddhism,TRUE,FALSE,5
52,南 昌彦,ミナミ マサヒコ,男,96885270,,9026287651,masahiko314@wuhjl.qz,864-0013,熊本県,荒尾市,上井手36935,1980/5/6,北海道,A,buddhism,TRUE,FALSE,6
53,栗林 明莉,クリバヤシ アカリ,女,960013150,960013150,9095088631,akari_kuribayashi@iclcpn.cv,869-0113,熊本県,玉名郡長洲町,有明37625,1983/3/30,東京都,A,buddhism,TRUE,FALSE,3
54,福山 道雄,フクヤマ ミチオ,男,532790813,,8058566171,michio_fukuyama@bhnsxlocnk.tr,428-0303,静岡県,榛原郡川根本町,壱町河内38065,1968/10/30,北海道,A,buddhism,TRUE,FALSE,7
55,大沼 真里,オオヌマ マリ,女,543705129,,9035168260,ioonuma@pyxjczruvy.gl,410-0038,静岡県,沼津市,三芳町43514,1969/8/4,佐賀県,O,buddhism,TRUE,FALSE,5
56,大橋 乃愛,オオハシ ノア,女,558412761,,8066635052,aoohashi@luhtbi.gwl,424-0026,静岡県,静岡市清水区,八坂南町43542,1979/3/30,新潟県,O,buddhism,TRUE,FALSE,5
57,岩田 茂行,イワタ シゲユキ,男,569651848,,9032742924,shigeyuki677@hwprsqyl.li,444-2115,愛知県,岡崎市,百々町37122,1965/3/24,兵庫県,B,buddhism,TRUE,FALSE,2
58,岩渕 信子,イワブチ ノブコ,女,736604435,,,oiwabuchi@qwaedwg.nd.mk,640-8290,和歌山県,和歌山市,西長町43528,1963/12/21,北海道,O,buddhism,TRUE,FALSE,2
59,山城 安弘,ヤマシロ ヤスヒロ,男,74456556,,8060730868,Yasuhiro_Yamashiro@rvbec.szo.pgt,636-0905,奈良県,生駒郡平群町,上庄43566,1965/6/3,東京都,B,buddhism,TRUE,FALSE,5
60,村田 謙多郎,ムラタ ケンタロウ,男,747420094,,8060882456,Kentarou_Murata@ucvibybf.xb.qf,637-1104,奈良県,吉野郡十津川村,高津38086,1968/1/24,沖縄県,A,buddhism,TRUE,FALSE,5
61,松元 靖彦,マツモト ヤスヒコ,男,257853802,,9082308048,yasuhiko4840@briutx.bmliq.gw,950-1214,新潟県,新潟市南区,上下諏訪木43483,1965/3/16,熊本県,B,buddhism,TRUE,FALSE,5
62,小寺 由佳利,オデラ ユカリ,女,769255357,,9075207533,iodera@pyrpakm.pcd.rd,930-3234,富山県,中新川郡立山町,伊勢屋1-14-11,1980/12/11,滋賀県,B,buddhism,TRUE,FALSE,5
63,藤村 奏利,フジムラ カナト,男,259176611,259176611,9082553775,Kanato_Fujimura@ryyruz.sdi,952-0853,新潟県,佐渡市,立間3-17-11,1996/10/28,山梨県,A,buddhism,TRUE,FALSE,6
64,前田 均,マエダ ヒトシ,男,226056772,226056772,8094640991,hitoshi0088@uiyzpsp.pk,989-4584,宮城県,栗原市,瀬峰清水山3-17-15,1983/4/30,群馬県,B,buddhism,TRUE,FALSE,5
65,神田 亀太郎,カンダ カメタロウ,男,289052934,289052934,8094925076,kametarou268@qvcdkx.dj,321-4107,栃木県,芳賀郡益子町,七井中央37030,1981/4/5,富山県,A,buddhism,TRUE,FALSE,5
66,奈良 徳男,ナラ トクオ,男,474980723,,8064004609,tokuo7714@pfpsxc.drev.bk,360-0104,埼玉県,熊谷市,塩43505,1964/10/19,鹿児島県,B,buddhism,TRUE,FALSE,6
67,橘 一正,タチバナ カズマサ,男,18719525,,9085522955,kazumasa3822@wyhleet.gkj,015-0021,秋田県,由利本荘市,大浦43538,1999/7/29,鳥取県,B,buddhism,TRUE,FALSE,2
68,北山 睦夫,キタヤマ ムツオ,男,857551835,,8032983839,mutsuo_kitayama@ymxrgfc.kl,680-0403,鳥取県,八頭郡八頭町,福井37578,1991/10/10,奈良県,A,buddhism,TRUE,FALSE,7
69,難波 克彦,ナンバ カツヒコ,男,294211414,,8087117147,onamba@xqzbkap.imhiq.hx,317-0051,茨城県,日立市,滑川本町43471,1974/6/20,鹿児島県,O,buddhism,TRUE,FALSE,6
70,寺崎 佳音,テラサキ カノン,女,779575827,,9024968508,kanon860@nrzrwtu.arz,911-0824,福井県,勝山市,平泉寺町池ケ原37974,1974/6/2,東京都,B,buddhism,TRUE,FALSE,5
71,羽鳥 康之,ハトリ ヤスユキ,男,555590835,,9057344828,yasuyuki92511@gcwouizb.nx,404-0015,山梨県,山梨市,牧丘町城古寺3-18-13,1974/2/19,徳島県,A,buddhism,TRUE,FALSE,1
72,五十嵐 啓吾,イガラシ ケイゴ,男,193198129,,8087119308,keigo86627@ouqt.gkzuc.kc,029-4461,岩手県,奥州市,衣川平37486,1979/8/20,山口県,O,buddhism,TRUE,FALSE,3
73,原 珠希,ハラ タマキ,女,744106763,,9049931856,tamaki7665@hupy.ll,636-0063,奈良県,北葛城郡河合町,久美ケ丘37230,1962/2/14,北海道,O,buddhism,TRUE,FALSE,3
74,堤 和佳,ツツミ ワカ,女,18699495,18699496,8097859707,yxkwamskjrlwaka45213@nlwla.lgn,013-0038,秋田県,横手市,前郷一番町36953,1988/12/18,福岡県,O,buddhism,TRUE,FALSE,6
75,瀬尾 蒼衣,セオ アオイ,女,194301789,,9054096789,aoiseo@llpgwobcdc.yi,028-7304,岩手県,八幡平市,緑ガ丘37657,1976/8/30,佐賀県,B,buddhism,TRUE,FALSE,5
76,高田 保,コウダ タモツ,男,868872999,,8088224095,tamotsu_kouda@dxvadbr.zwia.ziq,700-0806,岡山県,岡山市北区,広瀬町37135,1972/9/6,宮城県,O,buddhism,TRUE,FALSE,4
77,寺田 敬子,テラダ ケイコ,女,977443495,,9026590969,keiko10068@zxtvlfob.maoki.wz,875-0344,大分県,臼杵市,野津町白岩4-15-16,1970/7/30,愛媛県,A,buddhism,TRUE,FALSE,5
78,黒木 米子,クロキ ヨネコ,女,260827190,,9018783946,yoneko0835@kxbhxg.jq,394-0048,長野県,岡谷市,川岸上43530,1967/5/17,鳥取県,B,buddhism,TRUE,FALSE,4
79,那須 愛理,ナス アイリ,女,779558010,,8074241423,inasu@banjgk.mo.jz,910-3518,福井県,福井市,国山町43472,1983/10/8,岡山県,O,buddhism,TRUE,FALSE,6
80,橘 浩次,タチバナ コウジ,男,889675125,889675125,9031865136,kouji809@anikp.eu,780-0957,高知県,高知市,山手町37365,1971/3/6,宮崎県,O,buddhism,TRUE,FALSE,3
81,三浦 健二,ミウラ ケンジ,男,450686922,,9095147569,kenji700@gcmwu.am,231-0005,神奈川県,横浜市中区,本町37272,1977/8/7,青森県,AB,buddhism,TRUE,FALSE,4
82,佐川 桜歌,サガワ オウカ,男,965283500,965283500,8066091410,ouka623@pvkarq.gvh,861-0164,熊本県,熊本市北区,植木町鈴麦43536,1999/9/25,長野県,B,buddhism,TRUE,FALSE,4
83,長谷川 由紀,ハセガワ ユキ,女,85633131,,8016426939,yuki63756@pskou.cp,693-0036,島根県,出雲市,平成町43478,1994/6/26,神奈川県,O,buddhism,TRUE,FALSE,6
84,相原 真衣,アイハラ マイ,女,183935119,183935120,9067829167,mai49196@tsgcup.eqv,017-0057,秋田県,大館市,沼館37061,1991/10/17,茨城県,AB,buddhism,TRUE,FALSE,5
85,田端 裕,タバタ ヒロ,男,98284384,,,hiro7371@geqowarchc.wy,882-1415,宮崎県,西臼杵郡高千穂町,五ケ所43498,1999/4/17,千葉県,A,buddhism,TRUE,FALSE,6
86,柏原 彩花,カシワバラ アヤカ,女,293708235,,9049444170,ayaka_kashiwabara@oejcpql.qmt,315-0004,茨城県,石岡市,柏原町37142,1999/10/29,岩手県,A,buddhism,TRUE,FALSE,7
87,山川 文平,ヤマカワ ブンペイ,男,115499976,,8065426637,bumpei1945@jhzmzys.sx,086-1633,北海道,標津郡標津町,北三条37787,1978/9/5,福井県,AB,buddhism,TRUE,FALSE,5
88,金城 奈々,カナシロ ナナ,女,984895020,,,akanashiro@dxwarjxumr.ksc.lly,889-0603,宮崎県,東臼杵郡門川町,加草43543,1984/4/6,福井県,A,buddhism,TRUE,FALSE,3
89,佐野 修子,サノ シュウコ,女,896760523,,9084142115,shuuko3584@feggubyvj.xnq,796-8037,愛媛県,八幡浜市,谷2-16-6,1993/4/19,福島県,A,buddhism,TRUE,FALSE,4
90,上岡 花,カミオカ ハナ,女,183384339,,8034531228,hana247@pixwa.kk.hdg,013-0524,秋田県,横手市,大森町清水上3-19-5,1967/10/18,群馬県,O,buddhism,TRUE,FALSE,5
91,亀山 常夫,カメヤマ ツネオ,男,770571179,770571179,9049151369,tsuneo401@xutp.lhl,916-0221,福井県,丹生郡越前町,三崎4-20-3,1972/2/17,石川県,O,buddhism,TRUE,FALSE,2
92,木田 吉雄,キダ ヨシオ,男,760695844,,9075152305,yoshiokida@dttkpe.eyt,939-1912,富山県,南砺市,大島4-16-14,1973/10/2,大阪府,O,buddhism,TRUE,FALSE,8
93,稲垣 篤紘,イナガキ アツヒロ,男,397202057,,8040785181,zzujiuwftvg-atsuhiro828@jmbzoatb.tg,198-0052,東京都,青梅市,長淵1-14-18,1997/5/10,愛媛県,B,buddhism,TRUE,FALSE,1
94,石崎 蓮,イシザキ レン,女,445030265,,9076322117,ren044@ltdqrzv.fdw,253-0005,神奈川県,茅ヶ崎市,松風台38116,1965/7/23,高知県,O,buddhism,TRUE,FALSE,5
95,横川 米吉,ヨコカワ ヨネキチ,男,781208456,,8034564211,yonekichi828@bkfwbvty.vh.bso,669-2422,兵庫県,篠山市,後川上37241,1999/2/17,熊本県,O,buddhism,TRUE,FALSE,2
96,柳瀬 来実,ヤナセ クルミ,女,230674064,,8058954695,kurumi583@tqjhu.hkh,990-0333,山形県,東村山郡山辺町,杉下2-17-3,1994/10/12,京都府,A,buddhism,TRUE,FALSE,8
97,前田 紀男,マエダ ノリオ,男,738167605,738167606,8025082592,norio_maeda@bmvmexct.fgg,644-0043,和歌山県,日高郡美浜町,吉原37603,1997/3/9,宮崎県,O,buddhism,TRUE,FALSE,5
98,宮原 紀夫,ミヤハラ ノリオ,男,597911664,,9057150935,norio528@yftdiuow.kx,518-0875,三重県,伊賀市,上野向島町43514,1978/12/29,静岡県,B,buddhism,TRUE,FALSE,3
99,三島 章治郎,ミシマ ショウジロウ,男,972654075,,9038262055,shoujirou898@wdfkovlhie.hmdo.yg,879-1504,大分県,速見郡日出町,大神1-20-4,1980/8/31,茨城県,A,buddhism,TRUE,FALSE,5
100,都築 有美,ツズキ ユミ,女,465399024,,8021773520,yumi659@unlvh.qjads.gyw,227-0054,神奈川県,横浜市青葉区,しらとり台43566,1987/1/20,和歌山県,A,buddhism,TRUE,FALSE,6
101,塩谷 徳一,シオタニ トクイチ,男,243631899,,8071111532,Tokuichi_Shiotani@pqnbk.eea,962-0815,福島県,須賀川市,牡丹園43535,1995/1/18,愛媛県,AB,buddhism,TRUE,FALSE,2
102,寺田 安子,テラダ ヤスコ,女,77711211,77711212,9063822462,yasukoterada@bragamcw.yqbex.zd,629-1103,京都府,船井郡京丹波町,下乙見3-15-1,1973/3/10,青森県,AB,buddhism,TRUE,FALSE,5
103,上村 清司,ウエムラ キヨシ,男,576961920,,8012311864,kiyoshi319@lguqw.wxti.gz,507-0015,岐阜県,多治見市,住吉町3-17-7,1966/10/25,長野県,O,buddhism,TRUE,FALSE,5
104,板倉 信也,イタクラ シンヤ,男,444423441,,9013898447,shinya682@immcyjoo.uon.eto,259-1326,神奈川県,秦野市,渋沢上43472,1993/6/25,山梨県,B,buddhism,TRUE,FALSE,7
105,東 理香,アズマ リカ,女,772532406,,8058918934,rika387@rplscpvthv.jp,626-0061,京都府,宮津市,波路38080,1975/1/31,栃木県,B,buddhism,TRUE,FALSE,6
106,鹿島 遥花,カシマ ハルカ,女,874099600,874099601,8080589105,o=uosnvevharuka80615@bcgzld.wd.xlf,763-0081,香川県,丸亀市,土器町西43507,1997/2/12,栃木県,A,buddhism,TRUE,FALSE,5
107,石川 省吾,イシカワ ショウゴ,男,170572055,,9026919566,ceksqteshougo1115@odakzmcwj.rjbmb.xtd,037-0043,青森県,五所川原市,蓮沼37792,1990/5/1,徳島県,O,buddhism,TRUE,FALSE,5
108,石橋 瑠璃,イシバシ ルリ,女,883056582,,8069012301,ruri9379@afdclep.ek,771-1702,徳島県,阿波市,阿波町早田1-18-18,1993/6/27,愛媛県,O,buddhism,TRUE,FALSE,5
109,久野 清太郎,ヒサノ セイタロウ,男,599862317,,8091017698,seitarou638@ixiuc.rq,513-0843,三重県,鈴鹿市,平田東町37657,1987/9/18,栃木県,O,buddhism,TRUE,FALSE,3
110,田端 清吉,タバタ セイキチ,男,922799272,,9089683054,seikichi7793@lqpdel.ccvsn.yu,800-0047,福岡県,北九州市門司区,藤松37228,1998/3/20,山口県,A,buddhism,TRUE,FALSE,6
111,塚原 一路,ツカハラ カズミチ,男,888419536,888419536,9020017168,kazumichitsukahara@zymriw.bjj,780-0916,高知県,高知市,城北町38340,1969/2/4,鳥取県,B,buddhism,TRUE,FALSE,6
112,益田 蘭,マスダ ラン,女,771506560,,8034991531,nmasuda@aabrekwti.kqzdc.ml,602-8494,京都府,京都市上京区,新猪熊東町43504,1973/2/9,東京都,A,buddhism,TRUE,FALSE,1
113,中西 千裕,ナカニシ チヒロ,女,596908625,596908625,8024989161,chihironakanishi@ibsyllsbw.oo,515-0349,三重県,多気郡明和町,川尻37205,1963/1/23,千葉県,B,buddhism,TRUE,FALSE,6
114,大久保 真実,オオクボ マミ,女,185288468,,9062075032,nsnztbmami886@fyttmeoojt.pv,015-0323,秋田県,由利本荘市,土倉43571,1964/1/31,滋賀県,A,buddhism,TRUE,FALSE,5
115,鶴岡 好,ツルオカ ヨシ,女,955646937,,8097265373,kvy-bvvzogibdo=yoshi634@tche.ior,851-0103,長崎県,長崎市,中里町37880,1990/2/15,兵庫県,A,buddhism,TRUE,FALSE,6
116,岩崎 利平,イワサキ リヘイ,男,993810362,993810363,9059517407,riheiiwasaki@trfh.eblcq.ig,899-5204,鹿児島県,姶良市,加治木町日木山2-14-12,1966/5/9,奈良県,A,buddhism,TRUE,FALSE,2
117,海野 さくら,ウミノ サクラ,女,268979434,,8032139821,sakura769@csosgdpht.gbhwl.wxk,381-0075,長野県,長野市,北郷37059,1996/11/21,山口県,A,buddhism,TRUE,FALSE,2
118,神崎 千恵子,カンザキ チエコ,女,952960063,952960063,8056380478,chieko_kanzaki@ujuedmj.ftwj.vh,859-4513,長崎県,松浦市,志佐町田ノ平免38267,1965/3/28,岩手県,AB,buddhism,TRUE,FALSE,5
119,中田 満夫,ナカダ ミツオ,男,977394186,,8062111744,cbfxiqtmitsuo01907@kgciz.ino,875-0032,大分県,臼杵市,風成3-14-5,1984/6/14,千葉県,O,buddhism,TRUE,FALSE,6
120,川嶋 恭之,カワシマ ヤスユキ,男,882801312,,9076626952,yasuyuki1499@gaibzzpcc.kap,781-6454,高知県,安芸郡北川村,島38218,1960/1/17,埼玉県,A,buddhism,TRUE,FALSE,5
121,宇佐美 一博,ウサミ カズヒロ,男,466242014,,9051113877,kazuhiro1111@vyhflhppr.jv,221-0023,神奈川県,横浜市神奈川区,宝町43480,1988/3/19,山形県,B,buddhism,TRUE,FALSE,1
122,久野 英司,ヒサノ エイジ,男,954082470,,8083759958,eiji214@spprwjiqa.ko,840-0805,佐賀県,佐賀市,神野西43485,1989/5/19,鳥取県,A,buddhism,TRUE,FALSE,3
123,北沢 孝雄,キタザワ タカオ,男,280045555,,9041195381,ccyeao=eiwlqtakao10877@rllxaiwdzq.bah,321-2117,栃木県,宇都宮市,岩原町37690,1982/8/19,広島県,B,buddhism,TRUE,FALSE,7
124,大林 幸次,オオバヤシ コウジ,男,476722147,,9062634766,ioobayashi@nnzsmss.jgm,270-2214,千葉県,松戸市,松飛台43482,1961/12/2,宮城県,A,buddhism,TRUE,FALSE,6
125,梶田 貞,カジタ サダ,女,82747555,82747555,8020911735,akajita@bixtto.hk,731-0502,広島県,安芸高田市,吉田町国司37993,1964/2/4,長崎県,AB,buddhism,TRUE,FALSE,2
126,伊沢 凛香,イザワ リンカ,女,734597929,,9055401444,rinka508@nlirzlpkfs.ne.ssg,649-1231,和歌山県,日高郡日高町,小坂43563,1989/2/18,岐阜県,O,buddhism,TRUE,FALSE,1
127,福井 晴彦,フクイ ハルヒコ,男,996903787,,9078178002,haruhiko806@hpkjbbbwvz.psk,899-7309,鹿児島県,曽於郡大崎町,井俣37333,1960/7/18,大阪府,A,buddhism,TRUE,FALSE,7
128,平田 次郎,ヒラタ ジロウ,男,226517467,,8081423253,jirou5934@uyyfqdc.fip,987-0433,宮城県,登米市,南方町沼崎3-13-12,1988/4/5,宮崎県,B,buddhism,TRUE,FALSE,7
129,今西 寿晴,イマニシ トシハル,男,434282770,,8011349799,toshiharu668@gxtt.fs,261-0025,千葉県,千葉市美浜区,浜田3-19-17,1967/4/22,島根県,O,buddhism,TRUE,FALSE,4
130,猪股 克哉,イノマタ カツヤ,男,2907850,,8054632285,katsuya31425@basbooymv.rwv,301-0822,茨城県,龍ケ崎市,光順田43482,1988/9/15,埼玉県,AB,buddhism,TRUE,FALSE,6
